gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
3990304280																										MH997399										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997399																					PRESERVED_SPECIMEN				MH997399	YPM#ENT905763															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997399			Dendroctonus frontalis voucher YPM#ENT905763 28S ribosomal RNA gene, partial sequence.																																	US				Georgia, Warwick																																																				ASV:14c29eabdc7ac6432e7178c59986d644							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:51.145Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:51.145Z	2023-04-29T12:07:41.115Z	true										NE	
3990267637																										MH997080										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997080																					PRESERVED_SPECIMEN				MH997080	YPM#ENT905277															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997080			Dendroctonus frontalis voucher YPM#ENT905277 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.																																	US				Arizona, Flagstaff																																																				ASV:51b73b1199a180d8a6f5268d7c90189f							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:49.734Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:49.734Z	2023-04-29T12:07:41.115Z	true										NE	
3990244285																										MH997376										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997376																					PRESERVED_SPECIMEN				MH997376	YPM#ENT905279															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997376			Dendroctonus frontalis voucher YPM#ENT905279 elongation factor 1 alpha gene, partial cds.																																	US				Arizona, Flagstaff																																																				ASV:af89bffd81f518f0b5321e287e0a4c92							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:23.266Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:23.266Z	2023-04-29T12:07:41.115Z	true										NE	
3987236354																										MH997385										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997385																					PRESERVED_SPECIMEN				MH997385	YPM#ENT856083															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997385			Dendroctonus frontalis voucher YPM#ENT856083 elongation factor 1 alpha gene, partial cds.																													NORTH_AMERICA				MX				Michoacan, Nuevo San Juan																																																				ASV:892ef6d3d8f8c30c81347363b0c1b653							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:44.687Z								CONTINENT_DERIVED_FROM_COUNTRY		false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:44.687Z	2023-04-29T12:07:41.115Z	true										NE	
3987229777																										MH997225										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997225																					PRESERVED_SPECIMEN				MH997225	YPM#ENT905413															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997225			Dendroctonus frontalis voucher YPM#ENT905413 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.																																	US				Louisiana, Sicily Island Hills Wildlife Management Area																																																				ASV:1b9bd145906000c6bde7b9d506f01b18							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:48.187Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:48.187Z	2023-04-29T12:07:41.115Z	true										NE	
3969328003																										MH997395										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997395																					PRESERVED_SPECIMEN				MH997395	YPM#ENT905389															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997395			Dendroctonus frontalis voucher YPM#ENT905389 28S ribosomal RNA gene, partial sequence.																																	US				Maryland, Woolford																																																				ASV:14c29eabdc7ac6432e7178c59986d644							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:49.342Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:49.342Z	2023-04-29T12:07:41.115Z	true										NE	
3969328001																										MH997373										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997373																					PRESERVED_SPECIMEN				MH997373	YPM#ENT905257															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997373			Dendroctonus frontalis voucher YPM#ENT905257 elongation factor 1 alpha gene, partial cds.																																	US				Florida, Ponte Vedra																																																				ASV:dd952dfbaa40642faff26ee6597ae2bf							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:23.052Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:23.052Z	2023-04-29T12:07:41.115Z	true										NE	
3818386053																										MH997378										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997378																					PRESERVED_SPECIMEN				MH997378	YPM#ENT905999															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997378			Dendroctonus frontalis voucher YPM#ENT905999 elongation factor 1 alpha gene, partial cds.																																	US				Alabama, Lawley, Talladega National Forest																																																				ASV:dd952dfbaa40642faff26ee6597ae2bf							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:23.139Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:23.139Z	2023-04-29T12:07:41.115Z	true										NE	
3817951052																										MH997393										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MH997393																					PRESERVED_SPECIMEN				MH997393	YPM#ENT905996															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MH997393			Dendroctonus frontalis voucher YPM#ENT905996 28S ribosomal RNA gene, partial sequence.																																	US				Alabama, Lawley, Talladega National Forest																																																				ASV:14c29eabdc7ac6432e7178c59986d644							https://www.ebi.ac.uk/ena/browser/view/Taxon:77161	Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-04-29T12:31:22.568Z										false	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		EML	2023-04-29T12:31:22.568Z	2023-04-29T12:07:41.115Z	true										NE	
3785106847																										117762536										CC_BY_NC_4_0			2022-05-19T20:17:34Z			https://www.inaturalist.org/observations/117762536					MA Army National Guard, Natural Resources												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/117762536	117762536		MA Army National Guard, Natural Resources						Adult							PRESENT								SPB trapping effort w/MADCR Just over 3mm											2022-05-18T08:51:00	08:51:00-04:00			2022	5	18	2022/05/18 8:51 AM											NORTH_AMERICA				US	Massachusetts				Restricted Access: Camp Edwards, Bourne, MA, USA								41.707193	-70.565941	31.0																															261919309				MA Army National Guard, Natural Resources		2022-05-19T18:42:39				218219								Dendroctonus frontalis Zimmermann, 1868								Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		Dendroctonus	Dendroctonus			frontalis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-04-27T11:05:32.367Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	1228034	1228034	1	54	216	1470	4239	1228020		1228034	Dendroctonus frontalis	Dendroctonus frontalis Zimmermann, 1868	Dendroctonus frontalis		DWC_ARCHIVE	2023-04-27T11:05:32.367Z	2023-04-25T16:41:45.579Z	false		USA	United States	USA.22_1	Massachusetts	USA.22.1_1	Barnstable			NE	
